comment,code,Expected
xxx todo add standard entries, component context context new component context context entries null,
clean url is decoded value of url parameter,if pair starts with url,
only after successful save following statement marks that base is unchanged since last save,panel set non undoable change false,
entry added event is fired when new bib entry was added to bib database,public class entry added event extends entry event,
@formatter off,library get items add all,
 code removed entry event< code is fired when code bib entry< code was removed from database,,
 metadata user specific directory,meta data get user file directory preferences get user,
bibliography database,public class bib database,
reference to entry editor works on,private bib entry entry,
small table where entry type is associated with bibtex key pattern code parent bibtex key pattern can be set,public abstract class abstract bibtex key pattern,
actions for tree view,private void item boolean expand,
add as child,target add child target index,
add given new possible suggestions to this suggestion provider,public void add possible suggestions @suppress warnings unchecked new possible,
added externally,field changes add new field change view model field mem entry tmp entry mem or else null tmp or else null disk or else null,
adds given function to list of subscribers are notified when something changes in subtree following events are supported text in parentheses specifies node is passed as source add child new parent remove child old parent move old parent and new parent,public void subscribe to descendant changed consumer subscriber,
entries,entries frame get current base panel get database get entries,
groups need name,boolean ok enabled name field get text trim is empty,
set call operation in new thread,background task wrap this::push entries,
alt on win,move,
action class representing process of invoking push to application operation,public class push to application action extends simple command,
enum contains possible bib database modes possible are bib te and biblatex,public enum bib database mode,
object executes submitted @link task interface provides way of decoupling task submission from mechanics of how task will be run including details of thread use scheduling thread pooling etc,public interface task executor,
arrow indicating expanded status,new view model tree table cell factory group node view model,
as doi field is empty we now check if note url or ee field contains doi,for field field fields,
asks for details about merge database operation,public class append database dialog extends base dialog boolean,
backwards compatibility stub,public static final component context default bootstrap initial component context string ini file hashtable string string bootstrap parameters throws exception,
base action is used to define actions are called from base frame through run command run command finds appropriate base action object and runs action method,@functional interface,
binds propert bidirectional to property using update to update property when property changed and similar for update,public static void bind bidirectional observable value property observable value property consumer update consumer update,
binds propert bidirectional to property while using update to update property when property changed,public static void bind bidirectional property property observable value property consumer update,
